month,exports,imports,trade_balance
2016 JAN,16717,23118,-6401
2016 FEB,17155,24589,-7434
2016 MAR,16773,24040,-7267
2016 APR,18363,25020,-6657
2016 MAY,17221,24231,-7010
2016 JUN,16852,24995,-8143
2016 JUL,17379,24199,-6820
2016 AUG,16922,24477,-7555
2016 SEP,17497,25626,-8129
2016 OCT,16284,24208,-7924
2016 NOV,17450,26370,-8920
2016 DEC,17586,25622,-8036
2017 JAN,17704,24567,-6863
2017 FEB,17737,25055,-7318
2017 MAR,18339,25881,-7542
2017 APR,17966,24617,-6651
2017 MAY,18250,24923,-6673
2017 JUN,18892,25754,-6862
2017 JUL,18739,25150,-6411
2017 AUG,18338,25499,-7161
2017 SEP,18738,25489,-6751
2017 OCT,18028,25624,-7596
2017 NOV,18488,25331,-6843
2017 DEC,18429,24974,-6545
2018 JAN,18574,26476,-7902
2018 FEB,17909,24788,-6879
2018 MAR,18114,26254,-8140
2018 APR,18455,25607,-7152
2018 MAY,18557,26290,-7733
2018 JUN,18910,25724,-6814
2018 JUL,19406,25315,-5909
2018 AUG,18541,24654,-6113
2018 SEP,17839,24798,-6959
2018 OCT,18034,26013,-7979
2018 NOV,18169,26203,-8034
2018 DEC,18227,25050,-6823
2019 JAN,18992,26693,-7701
2019 FEB,18852,27467,-8615
2019 MAR,20587,29862,-9275
2019 APR,16349,24157,-7808
2019 MAY,17927,24517,-6590
2019 JUN,17245,25398,-8153
2019 JUL,17975,25139,-7164
2019 AUG,17900,25152,-7252
2019 SEP,18031,25909,-7878
2019 OCT,18715,27733,-9018
2019 NOV,16162,23638,-7476
2019 DEC,17462,23399,-5937
2020 JAN,17223,23489,-6266
2020 FEB,17173,23461,-6288
2020 MAR,15213,21993,-6780
2020 APR,13573,16009,-2436
2020 MAY,14086,16524,-2438
2020 JUN,14655,20332,-5677
2020 JUL,15480,21503,-6023
2020 AUG,15737,22179,-6442
2020 SEP,16122,23670,-7548
2020 OCT,17171,25125,-7954
2020 NOV,17370,26097,-8727
2020 DEC,18254,27856,-9602
2021 JAN,9756,20491,-10735
2021 FEB,15259,21580,-6321
2021 MAR,16699,22253,-5554
2021 APR,15918,22149,-6231
2021 MAY,17271,22402,-5131
2021 JUN,16711,23182,-6471
2021 JUL,16486,23035,-6549
2021 AUG,15671,22522,-6851
2021 SEP,15839,23564,-7725
2021 OCT,16542,22663,-6121
2021 NOV,16401,22884,-6483
2021 DEC,17958,22578,-4620
2022 JAN,13739,25454,-11715
2022 FEB,17635,24661,-7026
2022 MAR,17528,25705,-8177
2022 APR,17658,26312,-8654
2022 MAY,17891,27165,-9274
2022 JUN,17091,24751,-7660
2022 JUL,17906,26010,-8104
2022 AUG,18331,25652,-7321
2022 SEP,17076,22749,-5673
2022 OCT,17331,24810,-7479
2022 NOV,16659,25762,-9103
2022 DEC,17339,26955,-9616
2023 JAN,15959,24773,-8814
2023 FEB,15838,25155,-9317
2023 MAR,15688,25593,-9905
2023 APR,15968,24654,-8686
2023 MAY,15626,26024,-10398
2023 JUN,15441,26818,-11377
2023 JUL,16151,26108,-9957
2023 AUG,15828,25374,-9546
2023 SEP,15172,24397,-9225
2023 OCT,15005,26029,-11024
2023 NOV,15346,25276,-9930
2023 DEC,15227,24616,-9389
2024 JAN,15327,24912,-9585
2024 FEB,14587,25213,-10626
2024 MAR,14909,24188,-9279
2024 APR,14733,26210,-11477
2024 MAY,14344,23879,-9535
2024 JUN,16100,26451,-10351
2024 JUL,14534,25242,-10708
2024 AUG,16078,25001,-8923
2024 SEP,14154,24663,-10509
2024 OCT,14443,25772,-11329
2024 NOV,14049,25613,-11564
2024 DEC,13767,24664,-10897
