SitcCommodityHierarchy - SITC1,EU - Exports 2016 (Value (£)),EU - Imports 2016 (Value (£)),Non EU - Exports 2016 (Value (£)),Non EU - Imports 2016 (Value (£)),EU - Exports 2017 (Value (£)),EU - Imports 2017 (Value (£)),Non EU - Exports 2017 (Value (£)),Non EU - Imports 2017 (Value (£)),EU - Exports 2018 (Value (£)),EU - Imports 2018 (Value (£)),Non EU - Exports 2018 (Value (£)),Non EU - Imports 2018 (Value (£)),EU - Exports 2019 (Value (£)),EU - Imports 2019 (Value (£)),Non EU - Exports 2019 (Value (£)),Non EU - Imports 2019 (Value (£)),EU - Exports 2020 (Value (£)),EU - Imports 2020 (Value (£)),Non EU - Exports 2020 (Value (£)),Non EU - Imports 2020 (Value (£)),EU - Exports 2021 (Value (£)),EU - Imports 2021 (Value (£)),Non EU - Exports 2021 (Value (£)),Non EU - Imports 2021 (Value (£)),EU - Exports 2022 (Value (£)),EU - Imports 2022 (Value (£)),Non EU - Exports 2022 (Value (£)),Non EU - Imports 2022 (Value (£)),EU - Exports 2023 (Value (£)),EU - Imports 2023 (Value (£)),Non EU - Exports 2023 (Value (£)),Non EU - Imports 2023 (Value (£)),EU - Exports 2024 (Value (£)),EU - Imports 2024 (Value (£)),Non EU - Exports 2024 (Value (£)),Non EU - Imports 2024 (Value (£))
0 Food & live animals,"9,357,639,586","25,155,097,164","3,865,506,532","10,747,715,399","10,379,672,906","27,604,839,975","4,251,928,295","11,441,054,307","10,837,480,429","28,282,658,923","4,002,605,477","11,490,361,592","11,141,100,186","29,108,080,166","4,633,333,493","11,837,437,711","10,624,476,911","29,295,973,790","4,576,978,648","11,686,928,996","8,764,262,883","25,337,283,734","4,518,401,496","12,576,865,773","10,511,334,262","33,194,371,866","5,095,232,675","14,459,546,171","10,779,812,588","36,359,258,671","5,091,269,073","14,476,192,689","11,067,048,799","38,258,717,221","5,170,017,783","15,791,808,444"
1 Beverages & tobacco,"2,722,692,685","4,361,746,251","4,286,223,999","1,463,492,931","2,757,603,876","4,613,667,148","4,573,459,539","1,586,124,155","2,913,766,412","4,767,591,918","4,829,065,657","1,668,717,791","3,040,252,047","4,941,395,894","4,960,392,400","1,654,985,691","2,625,109,360","5,061,107,012","3,825,431,429","1,670,528,623","2,565,649,687","4,880,868,321","4,479,856,572","1,560,410,251","3,081,262,461","6,236,633,981","6,144,698,523","1,684,699,443","3,042,925,005","6,564,802,171","5,459,974,834","1,544,693,583","2,906,358,650","6,341,778,233","5,337,261,887","1,515,027,358"
"2 Crude materials, inedible, except fuels","2,217,709,832","4,987,872,708","3,614,933,977","4,228,811,536","2,531,726,485","5,704,751,521","4,559,784,885","4,627,595,875","2,652,588,766","5,792,963,308","4,646,125,889","4,951,205,939","2,582,587,229","5,701,310,881","4,295,376,637","5,249,579,751","2,599,994,105","6,090,926,912","3,868,612,452","5,628,628,110","3,848,538,175","7,083,935,546","5,717,260,363","7,755,929,615","4,025,933,042","7,985,703,303","6,249,445,151","7,375,443,800","3,167,750,805","6,853,573,430","5,422,476,400","6,049,638,403","2,947,178,369","6,359,585,465","5,762,526,966","5,995,037,980"
"3 Mineral fuels, lubricants & related materials","13,213,020,083","7,588,479,740","5,937,879,643","21,951,848,698","17,735,875,631","8,841,374,613","9,685,232,851","31,244,343,652","23,306,188,488","11,241,051,154","11,703,655,778","39,174,588,211","22,185,649,195","8,419,254,960","9,485,414,982","35,552,658,615","15,892,075,492","4,891,818,129","4,981,241,998","21,351,158,019","21,109,019,501","9,206,413,064","7,539,554,728","42,505,643,461","51,552,399,761","16,014,203,297","9,323,285,623","95,472,590,152","30,938,421,042","14,033,260,850","6,568,058,148","60,340,710,385","22,646,375,599","13,681,417,449","4,744,043,005","50,245,497,491"
"4 Animal & vegetable oils, fats & waxes","329,307,447","779,566,912","93,785,620","372,660,478","428,718,834","962,046,496","86,559,279","483,034,533","464,891,315","909,385,609","77,732,842","452,292,364","450,503,266","904,118,595","74,190,901","499,111,237","449,429,485","958,765,797","77,070,632","546,913,495","441,894,293","916,400,111","165,330,628","716,779,732","679,940,907","1,705,886,451","98,462,783","772,362,804","489,189,643","1,616,941,694","124,914,645","583,515,272","460,039,028","1,579,860,525","219,601,354","572,674,980"
"5 Chemicals & related products, nes","28,338,933,894","39,430,797,060","24,256,855,407","14,324,216,242","31,097,508,756","44,194,949,870","24,994,298,620","14,842,849,842","29,643,506,177","42,797,195,496","25,134,654,741","15,148,094,518","27,286,504,018","43,549,650,001","26,778,929,701","14,030,817,518","28,366,047,118","39,404,127,886","24,449,908,309","14,662,632,482","27,893,943,881","38,228,814,956","24,338,896,398","21,806,104,907","33,999,208,333","52,941,387,165","27,304,116,877","23,182,657,173","30,334,142,098","45,979,738,363","28,511,692,160","20,240,714,540","28,337,633,851","43,114,769,323","25,782,072,807","20,339,351,186"
6 Manufactured goods classified chiefly by material,"14,518,207,567","26,083,211,939","11,859,832,730","19,854,764,477","17,292,258,895","29,490,895,104","13,024,089,895","22,838,147,352","18,088,811,850","31,866,418,111","13,665,293,902","23,637,267,417","17,148,538,509","31,728,725,446","14,172,593,319","24,991,954,597","15,793,730,925","26,686,463,650","17,628,291,422","27,325,282,462","16,925,149,664","28,077,334,858","18,369,410,102","33,321,515,476","19,848,750,522","35,623,942,264","21,922,550,134","31,458,319,936","18,534,037,904","34,068,619,541","15,571,237,167","26,663,800,715","16,684,079,070","33,313,672,792","17,290,321,413","27,427,890,602"
7 Machinery & transport equipment,"51,435,917,715","98,486,372,748","68,474,887,407","70,910,570,988","57,271,759,673","103,145,112,292","74,604,860,138","75,881,460,013","58,815,783,646","104,577,838,003","75,058,600,471","74,334,704,521","60,487,568,523","107,402,017,435","75,048,476,476","76,732,403,507","47,879,306,200","85,949,331,093","60,614,745,343","65,754,811,541","50,999,679,445","79,550,595,040","59,993,202,248","75,330,627,885","57,443,668,689","110,472,273,701","72,037,953,079","91,037,409,393","64,700,485,953","128,635,115,391","82,641,105,777","95,873,019,513","61,490,043,066","122,791,523,031","81,945,731,099","90,175,324,157"
8 Miscellaneous manufactured articles,"20,407,852,186","28,443,834,639","22,224,833,409","42,138,424,117","22,156,424,043","31,676,209,128","23,956,259,901","42,683,745,184","22,847,564,656","33,156,644,347","23,842,985,887","41,497,592,799","24,232,316,771","35,458,722,930","24,428,036,604","43,621,965,254","20,941,178,368","30,156,667,898","19,577,138,132","41,940,433,867","17,344,219,617","26,065,188,139","20,363,809,383","43,465,310,624","18,635,482,673","33,619,883,597","22,943,266,650","49,955,220,484","19,037,238,210","34,114,082,482","22,965,391,691","42,564,789,110","18,575,670,216","33,145,326,202","23,111,024,153","42,787,917,106"
9 Commodities/transactions not class'd elsewhere in SITC,"1,188,557,827","2,819,318,943","16,078,357,009","46,962,882,708","1,528,622,932","2,582,093,321","19,396,883,206","32,910,270,370","1,966,329,047","3,090,762,695","29,886,704,860","24,950,021,742","1,982,695,616","2,964,770,004","25,610,532,332","61,471,666,944","3,927,116,818","3,318,161,255","22,470,375,073","73,724,878,023","8,556,540,538","3,038,003,965","39,528,659,153","44,191,346,063","9,389,546,370","15,638,821,093","64,807,574,435","37,833,660,883","8,172,740,018","17,922,293,202","60,982,295,896","42,459,667,920","9,714,665,778","19,735,474,264","56,899,082,941","64,905,389,136"
